,label,text
752,Non-Alcohol,"A drink for moderating blood glucose levels produced by a meal in a human subject suffering diabetes or impaired glucose tolerance (IGT) the drink comprising:. at least one water soluble or water dispersible compound selected from the group consisting of amino acids, peptides and proteins in a total amount of at least 8g on a dry weight basis per serving of drink;. aqueous liquid in an amount of from 70ml to 400ml (preferably in an amount of from 100 ml to 250 ml and more preferably from 125 ml to 175 ml) per serving, and wherein the drink exhibits shear banding when subject to the shear banding test herein described."
753,Alcohol,"Methods, compositions, computer systems, and kits for identifying wine taste preferences of individuals are disclosed. In particular, the invention relates to the use of genetic profiling of an individual in combination with questioning about personal characteristics and taste preferences to predict individual wine taste preferences. The methods of the invention can be used for selection of wines that have a high probability of meeting the taste preferences of an individual."
754,Non Autonomous,"The invention provides a kind of vehicle remote control apparatus realizing low-power consumption, communication in this system and the communication module in PMU and power supply unit all comprise normal working and dormancy mode of operation, make vehicle not need under normal operation, to make communication and PMU be in dormant state, thus extend the static holding time of vehicle accumulator.The present invention also provides a kind of vehicle remote control apparatus to realize the method for low-power consumption, when PMU is in park mode, first control terminal will wake instruction up to communication and PMU transmission and be waken up, after communication and PMU are waken up, carry out the control command operation under normal working again, thus save vehicle accumulator consumption of current, prolongation vehicle accumulator static holding time."
755,Non-Alcohol,"A refrigerator includes a body, a storage chamber, a door, a water tank to store clean water, a carbonated water production module mounted to a back surface of the door while including a carbon dioxide gas cylinder stored with carbon dioxide gas, and a carbonated water tank to produce carbonated water through mixing of the clean water with the carbon dioxide gas, a dispenser including a dispensation space formed at the door, a carbonated discharge line to connect the carbonated water tank and the dispensation space, so as to retrieve the carbonated water in the dispensation space, and a clean water discharge line to connect the water tank and the dispensation space without passing through the carbonated water tank, so as to retrieve the clean water in the dispensation space, and a carbonated water regulator to maintain a discharge pressure of the carbonated water at a predetermined pressure."
756,Alcohol,"A system and method for generating wort utilizing steam injection heating and stratified flow. The system mixes a fine ground grain with water to form a slurry. The slurry is pumped through a steam injection heater to form a mash. The heated mash enters into a stratified vessel that creates a stratified temperature profile from a first end to a second end. The stratified heating vessel allows the mash to flow from the first end to the second end without internal mixing. After retention within the mash coil, the wort is directed to a mash filtration unit. After filtration, the wort enters into a boil kettle and is heated using a second steam injection heater. The boil kettle includes a spray head that directs brewing liquor onto the wort to reduce foam within the boil kettle. Finally, the wort passes through a scraped surface sieve that removes particles from the heated wort."
757,Autonomous,"An autonomous underwater vehicle (AUV) is configured to record seismic signals during a marine seismic survey. The AUV includes a body having a base (B) and first and second sides (A, C), the body having a head part and a tail part; a propulsion system for guiding the AUV to a final target on the ocean bottom; a seismic sensor configured to record seismic signals; and an anchoring system configured to rock or twist the base in a given sequence so that the base (B) penetrates into the ocean bottom."
758,Non-Alcohol,"Provided is a refrigerator including: a carbonated water tank in which carbonated water is stored; a water tank supplying filtered water to the carbonated water tank; a carbon dioxide cylinder supplying carbon dioxide to the carbonated water tank; and a controller, if the water level of carbonated water sensed by a water level sensor is less than or equal to a predetermined minimum water level, supplying the filtered water to the carbonated water tank, and if supply of the filtered water is completed, supplying the carbon dioxide to the carbonated water tank so as to produce the carbonated water. If it is expected that the storage amount of the carbonated water is reduced or the user won't use the carbonated water for a while, carbonated water is automatically produced so that the user is not required to wait while the carbonate water is produced."
759,Alcohol,"A method for optimizing reduction and content of total titratable alkali of green liquor of a recovery boiler. The method comprises producing green liquor in a dissolving tank by conveying smelt and weak white liquor into the dissolving tank and measuring at least the contents of sodium sulphate, sodium hydroxide, sodium sulphide, and sodium carbonate of the green liquor. The method comprises controlling at least a process parameter of a recovery boiler to maximize the reduction of the recovery boiler and controlling the flow of the weak white liquor into the dissolving tank to optimize the content of total titratable alkali of the green liquor. In addition, a system for producing green liquor with optimized reduction and content of total titratable alkali. The system comprises a first sensor arrangement, a first and a second regulator, and a processing unit arrangement configured to perform the method."
760,Alcohol,"The disclosed technology includes a membrane-based device configured to concentrate black liquor, which results from papermaking. Certain embodiments may comprise a nanofiltration membrane configured to remove lignin from black liquor, and the nanofiltration membrane may include a first macroporous polymer substrate and a first graphene oxide membrane covering the first macroporous polymer substrate. Some embodiments may comprise a reverse osmosis membrane, which may include a second macroporous polymer substrate and a second graphene oxide membrane covering the second macroporous polymer substrate."
761,Autonomous,"Aspects of the disclosure relate generally to speed control in an autonomous vehicle. For example, an autonomous vehicle may include a user interface which allows the driver to input speed preferences. These preferences may include the maximum speed above the speed limit the user would like the autonomous vehicle to drive when other vehicles are present and driving above or below certain speeds. The other vehicles may be in adjacent or the same lane the vehicle, and need not be in front of the vehicle."
762,Alcohol,The present disclosure is directed to genetically engineered bacteria strains with enhanced biofuel-producing capabilities from cellulosic substrates. The bacteria strains of the present disclosure comprise an inactivated Type I glutamine synthetase gene. The present disclosure is also directed to methods of producing biofuels from cellulosic biomass using the genetically engineered bacteria strains.
763,Autonomous,"Aspects of the present disclosure relate to a system having a memory, a plurality of self-driving systems for controlling a vehicle, and one or more processors. The processors are configured to receive at least one fallback task in association with a request for a primary task and at least one trigger of each fallback task. Each trigger is a set of conditions that, when satisfied, indicate when a vehicle requires attention for proper operation. The processors are also configured to send instructions to the self-driving systems to execute the primary task and receive status updates from the self-driving systems. The processors are configured to determine that a set of conditions of a trigger is satisfied based on the status updates and send further instructions based on the associated fallback task to the self-driving systems."
764,Alcohol,"A gluten-free fermented beverage for human consumption includes a mixture including tea and alcohol. The alcohol is formed by a single culture yeast and fermentable sugar not derived from grain. A method for making the beverage includes steeping a form of tea leaves in water to form a tea, adding a form of yeast nutrient to the tea, adding a fermentable sugar not derived from grain to the tea, adding a single culture yeast to the tea, fermenting the tea mixture, adding citric acid before and/or after the step of fermenting, filtering the fermented tea, and carbonating the fermented tea."
765,Autonomous,"Models can be generated of a vehicle's view of its environment and used to maneuver the vehicle. This view need not include what objects or features the vehicle is actually seeing, but rather those areas that the vehicle is able to observe using its sensors if the sensors were completely un-occluded. For example, for each of a plurality of sensors of the object detection component, a computer may generate an individual 3D model of that sensor's field of view. Weather information is received and used to adjust one or more of the models. After this adjusting, the models may be aggregated into a comprehensive 3D model. The comprehensive model may be combined with detailed map information indicating the probability of detecting objects at different locations. The model of the vehicle's environment may be computed based on the combined comprehensive 3D model and detailed map information."
766,Alcohol,"A beer making system may adjust the beer making process based on the age and provenance of hops to achieve a designed flavor profile. Hops may be analyzed and packaged, with the analysis stored for recall by a beer making system. When the hops are used during beer making, compensations may be made to the recipe parameters to compensate for estimated changes in the hops performance. In one use case, hops may be analyzed and sealed into single-use packages, which may be subsequently used with an automated or semi-automated beer making machine. A database lookup may be performed at beer making to adjust a recipe to increase or decrease time, temperature, or other parameters of a beer making process."
767,Autonomous,"Embodiments of the present invention disclose a method, computer program product, and a computer system for modifying regional driving habits. A computer determines a first value associated with a regional driving habit for a region. The computer determines a second value associated with a target driving habit, wherein the second value is not substantially equivalent to the first value. The computer determines that a number of at least semi-autonomous vehicles in an area is above a threshold value. The computer transmits information instructing the number of at least semi-autonomous vehicles to operate based on the second value."
768,Non-Alcohol,"-The invention concerns a container (30) for preparing liquid yoghurt in a yoghurt maker, comprising a bottom (31) linked to a side wall (34) tapering towards an upper opening (35). -According to the invention, the side wall (34) has an annular support rim (33) arranged between the bottom (31) and a peripheral bulge (36), the annular support rim (33) being arranged in the lower half of the container (30). -The invention also concerns an electric home yoghurt maker (1) comprising a support (4) holding at least one container (30) for preparing liquid yoghurt according to the abovementioned characteristics."
769,Alcohol,"An electric wine decanter comprises a housing, an air pump, a spout, the retaining base and a control switch. The retaining base is provided with a vent hole for communicating with the air in the wine container and a wine guide tube for extending to a bottom of the wine container. The housing further includes a directional control valve therein for controlling an air flow switch of the air pump and a drive device for controlling the operation of the directional control valve. The directional control valve includes a valve body and a valve seat mounted to a bottom of the valve body. It is only necessary to install the electric wine decanter on the mouth of the wine container. By the opening and closing of the different valve mouths, the flow path of the air flow is changed to realize the functions of pressure-holding, vacuumizing and decanting."
770,Autonomous,"Data is obtained concerning at least one attribute of a vehicle operator. The attribute is used to determine an instruction for positioning a vehicle component during autonomous operation of the vehicle. Autonomous operation of the vehicle, including positioning the vehicle component according to the instruction, is performed."
771,Non-Alcohol,"The invention provides nucleic acids, collections of nucleic acids, supports, assay kits, and methods for the sensitive and specific detection of microorganisms in a foodstuff. The nucleic acid comprises a nucleotide sequence selected from the group consisting of SEQ ID NOs: 1-15 and having a length of no more than 35 nucleotides."
772,Alcohol,"A method is provided for treating distiller's grains with solubles (DGS) to produce one or more byproducts. The method includes separating the DGS into a low protein mixture and a high protein mixture. The method includes generating, from the low protein mixture, a biogas by an anaerobic digestion process. The method includes generating, from the high protein mixture, at least one of a vegetable oil from a vegetable oil separation process, a high protein animal feed from a separation process and a microalgae biomass material from a microalgae production process."
773,Autonomous,"Methods and devices for controlling a vehicle in an autonomous mode are disclosed. In one aspect, an example method is disclosed that includes obtaining, by a computer system, lane information that provides an estimated location of a lane of a road on which a vehicle is travelling, where the computer system is configured to control the vehicle in an autonomous mode. The example method further includes determining, by the computer system, that the lane information has become unavailable or unreliable and, in response to determining that the lane information has become unavailable or unreliable, the computer system selecting a predetermined trajectory from a plurality of predetermined trajectories and controlling the vehicle to travel along the selected predetermined trajectory."
774,Non-Alcohol,"The 'colognes' substitute replenishes a conventional 'cologne' of water, high percentage ethanol and fragrances to make use of its slightly antiseptic, refreshing and cleansing properties in an ethanol-free product. For this purpose, the 'colognes' replacement product contains fragrances in a water-based composition excluding alcoholic solvents, in particular ethanol and isopropanol, namely a perfume component, a glycol component - at least one antiseptic at least one amphoteric, neutral or cationic surfactant in an amount just sufficient to solubilize the remaining ingredients without phase separation in the aqueous composition.The 'colognes' substitute product can be used in any customary 'colognes' use, including soaking wipes and within cosmetic products."
775,Alcohol,"The present disclosure discloses an electric wine opener. It includes a bracket and a driving device which comprises a rotating shaft with a polygonal cross-section and a motor. The rotating shaft is rotatably installed on the bracket. The motor is installed on the bracket. The input shaft of the motor is connected to the rotating shaft. The electric wine opener further comprises a cylindrical cork extraction device which comprises a sleeve, a screw, a threaded drill, a cork sleeve, the sleeve with internal thread in the middle is mounted in the bracket. The screw is provided with a hexagonal hole corresponding to the rotating shaft. The screw is fitted in the rotating shaft. The electric wine opener further comprises a clamping device. Because the driving device, cork extraction device and clamping device are provided in the bracket, the driving device can drive the clamping device to clamp the bottle and the cork extraction device to extract the cork so as to ensure the electric wine opener to clamp the bottleneck of the wine bottle and further extract the cork automatically. The electric wine opener is easy to operate and it can be used to extract the cork steadily and quickly."
776,Non-Alcohol,Producing soluble whole oat or barley flour by using enzymes to precondition whole oat or barley flour prior to an extrusion (continuous cooking) process.
777,Alcohol,"An apparatus for measuring a volume of liquor dispensed from a bottle may have at least one transparent substrate having a first side and an opposite second side. A shaded background is on the first side or second side and outlining at least one transparent bottle profile of a geometric shape of a bottle corresponding to a brand of liquor. In addition, at least one volume scale is on one of the sides of the substrate and the at least one scale is associated with the at least one bottle profile to measure a level of liquor in the bottle."
778,Autonomous,A vehicle includes a passenger compartment and at least one seat located in the passenger compartment. The seat can be moved from a front-facing position to a rear-facing position for when the vehicle is operating in an autonomous mode. The vehicle may further include autonomous driving sensors and an autonomous controller that receives signals generated by the autonomous driving sensors and controls at least one vehicle subsystems according to the signals received.
779,Alcohol,"An infuser for alcoholic beverages, having a container of ethyl alcohol and a water source, both of which are hydraulically connected to a volumetric mixing chamber, a water capsule holder located downstream of the volumetric chamber and intended to receive capsules containing single doses of essences, and extracting liquid from the volumetric chamber and injecting same into a capsule. The ethyl alcohol container and the water source are connected to the volumetric chamber by shut-off solenoid valves, and the volumetric chamber contains a main electrode and a plurality of secondary electrodes disposed above the main electrode at different levels."
780,Autonomous,An event is detected arising during autonomous operation of a vehicle. An index in media content associated with the event is identified. At least one instruction is provided to a media module to pause or modify play of the media content based on the event.
781,Non-Alcohol,"A method of manufacturing a plant finished product, comprising the step of processing a plant or a processed material thereof with high-temperature and high-pressure liquid, gas, or fluid under conditions where an oxygen concentration is 0 to 1 Âµg/mL."
782,Alcohol,"The present invention relates to a wine aerating device comprising a body member (10), adapted to hold a container (12) containing pressurized gas and a lance member (14) for diffusing pressurized gas into a wine to be aerated, the body member (10) being provided with a passage (102, 103, 121, 105, 104) for passing a flow of pressurized gas from the container (12) to the lance member (14), comprising a comprising a control mechanism (23) for providing a flow of pressurized gas from the body member (10) to the lance member (14) over a variable length of time, the duration of which can be manually set by a user, wherein the control mechanism (23) comprises a valve (24), the valve being adapted to be manually actuated by rotary movement of a collar (20) provided on body member (10)."
783,Autonomous,An underwater base handles an autonomous underwater vehicle. The underwater base includes a storing part configured to store the AUV; a control part configured to control the storing part; and a support part configured to support the control part and the storing part and to prevent a burial of the underwater base into the ocean bottom. The control part is further configured to guide the AUV while approaching a desired target position on the ocean bottom.
784,Alcohol,"A wine inventory management system is provided to assist a user in selecting and locating a wine from a wine collection. In one example, a wine inventory management system may comprise a smart cap having an indicator portion and a processor in communication with the smart cap. The processor in communication with the smart cap may comprise a determining module that determines a set of criteria, a matching module that matches wines to the set of criteria to form a wine set, and an illuminating module that illuminates smart caps of the wine set. The smart caps may be illuminated with different colors, light animation patterns, and with different images in some examples."
785,Autonomous,"A control of autonomous vehicles, and a method for controlling at least one autonomous ground vehicle configured to adopt two operating modes, including a manual mode in which the driving depends on driving instructions from the driver of the vehicle, and an autonomous mode, in which the driving depends on data received from sensors configured to provide information on surroundings of the vehicle, and on data received by a navigation system, the method including: authorizing the autonomous mode only when the vehicle is within an area determined by defined boundaries; receiving reservation data from a user interface; generating a set message to be transmitted to the vehicle in accordance with the received reservation data; and transmitting the set message to the vehicle such that the vehicle autonomously performs a movement corresponding to the transmitted set message."
786,Alcohol,"The invention relates to an improved process for separating lignin and monomeric sugars from a liquor comprising lignin and monomeric sugars in a solvent mixture of water and at least one organic solvent, which employs membrane filtration techniques such as nanofiltration and selective water removal, preferably by permeation through a membrane which is selective for water molecules. The invention further relates to a modular system for executing the process according to the invention. The process and system according to the invention are particularly suitable to be incorporated with pre-treatment of lignocellulosic biomass, in particular by organosolv fractionation or solvolysis."
787,Autonomous,"A method for controlling an autonomous vehicle includes determining whether a primary user is present in an autonomous vehicle, allowing use of a plurality of functions of the autonomous vehicle in response to determining that the primary user is present in the autonomous vehicle, and receiving and storing preferences input by the primary user, wherein the preferences identify a limitation on one or more of the plurality of functions of the autonomous vehicle that should be enforced during use of the autonomous vehicle if the primary user is not present in the autonomous vehicle. The method further includes limiting use of the one or more of the plurality of functions of the autonomous vehicle as specified by the preferences in response to determining that the primary user is not present in the autonomous vehicle."
788,Alcohol,"A process of enhanced bio-alcohol production from molasses is provided herein. The process comprises contacting molasses with sodium benzoate, potassium sorbate or a mixture thereof followed by yeast fermentation resulting in at least 6% increased alcohol production. Also included within the scope of the present invention is a process for producing co-product containing reduced glycerol."
789,Autonomous,"A computer receives data detailing operation of a plurality of at least partially manually operated automobiles. The computer determines one or more trends in the operation of the plurality of at least partially manually operated automobiles, based at least in part on the data detailing the operation of the plurality of manually operated vehicles. The computer generates one or more operational rules, based, at least in part, on the one or more trends. The computer transmits the one or more operational rules to one or more at least semi-autonomous vehicles."
790,Non-Alcohol,"Disclosed herein are systems, methods and processes for preparing, packaging and preserving red meat, especially maintaining the freshness and color of the meat. In one embodiment, the disclosed method comprises treating the meat with an inert gas followed by replacement of at least a portion of that inert gas with carbon dioxide."
791,Alcohol,"A method of making a sherry wine-like beverage includes combining water, ethanol and a plurality of flavor compounds in an amount sufficient to impart the flavor of a sherry wine without the need for fermentation and/or aging."
792,Autonomous,"A method for identifying roadway curvature that includes determining a range of interest and collecting shape points from a map database from a current position of the vehicle to an end of the range of interest that define the location of the roadway. The method converts the shape points from World Geodetic System 84 (WGS84) coordinates to UTM coordinates, and then fits a single set of polynomial equations to define a curve using the converted shape points. The method determines whether the single set of polynomial equations exceeds a predetermined curvature accuracy threshold, and if so, fits multiple sets of polynomial equations to multiple roadway segments over the range of interest using the converted shape points. The method then determines the roadway curvature at any roadway location using solutions to the multiple sets of polynomial equations."
793,Alcohol,"Brewer's spent-grain based protein powder and related methods for using producing protein-enhanced foodstuff. The brewer's spent-grain based protein powders have beneficial properties including low phytic acid content, high PDCAAS value and retention of significant antioxidant properties. The brewer's spent-grain based protein powders are highly soluble and thus are easily wetable, readily dispersable and blendable in concentrations of up to 50% by weight. The brewer's spent-grain based protein powder possesses beneficial sensory characteristics including light color and mild flavor that allow the brewer's spent-grain based protein powder to be used alone or as a protein value enhancer within foods intended for human consumption, companion pet foods and in commercial livestock feeds."
794,Autonomous,"An automated driving system and methods are disclosed. The automated driving system includes a perception system disposed on an autonomous vehicle. The automated driving system can detect, based on an audio recording captured by the perception system, an emergency vehicle operating in an emergency mode. After detection, an image of the environment surrounding the autonomous vehicle can be captured by the perception system. Based on at least one of the audio recording and the image of the environment surrounding the autonomous vehicle, a location of the emergency vehicle in respect to the autonomous vehicle can be determined. If the location of the emergency vehicle is such that the autonomous vehicle is required to comply with a traffic regulation, the automated driving system can send a command to one or more vehicle systems of the autonomous vehicle to implement one or more maneuvers to comply with the traffic regulation."
795,Non-Alcohol,"The invention concerns a fermented dairy product comprising microcapsules of oxidizable active, and a fermented milk composition."
796,Alcohol,"The present invention relates generally to the generation of bio-products from organic matter feedstocks. More specifically, the present invention relates to the use of pulping liquors in the hydrothermal/thermochemical conversion of lignocellulosic and/or fossilised organic feedstocks into biofuels (e.g. bio-oils) and/or chemical products (e.g. platform chemicals)."
797,Autonomous,"An autonomous vehicle includes: a first sensor which obtains environmental information on surrounding environment of the autonomous vehicle; and a control unit which controls a drive unit based on a self position. The control unit includes: a first estimation unit which calculates a first estimate value indicating an estimated self position, by estimation using a probabilistic method based on the environmental information; and a second estimation unit which calculates a second estimate value indicating an estimated self position, by estimation using a matching method based on the environmental information, and the control unit changes, according to the first estimate value, a second estimate range for the calculating of the second estimate value by the second estimation unit, and controls the drive unit using the second estimate value as the self position."
798,Alcohol,"This invention patent applies to the manufacture and beer consume areas and is about a device for the customization of postmaturation beer allowing to add ingredients on already done beers, in order to change its visual and sensory characteristics, according to the adjustments executed by the user or by a recipe that can be programmed on the device. Referring to the domestic customization device for the visual and sensory characteristics of the already done beers, having the objective of altering it, according to the user parameters, and the characteristics of the already done beers, inside several conditions, with the introduction of supplies such as liquids, syrups and having the possibility of cold infusion."
799,Autonomous,"A vehicle system includes an autonomous mode controller and an entertainment system controller. The autonomous mode controller controls a vehicle in an autonomous mode. The entertainment system controller presents media content on a first display while the vehicle is operating in the autonomous mode and on a second display when the vehicle is operating in a non-autonomous mode. A method includes determining whether a vehicle is operating in an autonomous mode, presenting media content on a first display while the vehicle is operating in the autonomous mode, and transferring presentation of the media content to a second display when the vehicle is operating in a non-autonomous mode."
800,Alcohol,"A granular composition comprising a pesticide, 0.1 to 10 wt % of a nonionic amphiphilic polyalkoxylate, at least 20 wt % of a solid water-soluble anionic dispersant, at least 5 wt % of a sugar, which is a mono- or disaccharide, or a mixture thereof, and a polyvinylpyrrolidone is provided. Methods for the preparation of the granular composition including the steps of (i) providing an aqueous suspension comprising the pesticide, the polyalkoxylate, the dispersant and the sugar, (ii) drying the aqueous suspension, and (iii) granulating the aqueous or dried suspension, and wherein the polyvinylpyrrolidone is added in step (i) and/or step (iii) are further provided. Methods for controlling at least one of phytopathogenic fungi, plant growth, attack by insects or mites, and/or for regulating the growth of plants, wherein the composition is allowed to act on the particular pests, their habitat, the undesired or useful plants, and/or the soil are further provided."
801,Autonomous,"The autonomous space vehicle video monitoring system is an electrically and mechanically powered camera system for video and audio monitoring of space vehicles. The system allows for autonomous monitoring and implementing corrective actions, providing telemetry and communications to keep the health and wellbeing of a space vehicle. It utilizes a Modular Mounting formed to exact dimensions on any type space vehicle. It has an arm like device to enable complete viewing of the entire 360 degree surface of a space vehicle. The autonomous space vehicle video monitoring system also utilizes rotor joints allowing maximum angle flexibility for viewing the space vehicle. The system has electrically conductive tracks and wheels that have a camera mounted on it with an arm like device in turn enabling 360 degree viewing of the space vehicle surfaces. Delivered in pre-designed sections then fit to the specific structure and assembled on the space vehicle."
802,Alcohol,Methods and devices for use in removing biogenic amines from wine or other liquids are described. The methods and devices use a cation exchange resin and/or molecularly imprinted medium selective for amines to remove the amines from the wine or other liquid at the point of use.
803,Autonomous,"An autonomous vehicle comprises at least one distance measurement means for measuring a distance to a road surface disposed in a vehicle main body, inclination calculation means for calculating an inclination of the vehicle main body based on the distance measured by the distance measurement means, posture calculation means including a sensor that detects at least one of an angular speed and an acceleration of the vehicle main body, the posture calculation means being configured to calculate the inclination of the vehicle main body based on a sensor value detected by the sensor, and failure determination means for determining a failure in each distance measurement means and the posture calculation means by comparing the inclination of the vehicle main body calculated by the inclination calculation means with the inclination of the vehicle main body calculated by the posture calculation means."
804,Non-Alcohol,"Certain embodiments provide apparatuses and methods for removing alcohol from alcoholic beverages. In certain embodiments, the apparatus includes a vessel, a fluid conduit configured to be inserted into a beverage, the fluid conduit configured to allow the beverage to flow into the vessel, a heating system comprising a distribution surface within the vessel, the distribution surface configured to receive the beverage and to heat the beverage, and a vacuum system configured to apply a vacuum to the beverage while the beverage is heated by the distribution surface. In certain embodiments, the method includes using the apparatuses described herein to reduce the alcohol content of an alcoholic beverage."
805,Alcohol,"An apparatus and method for malting grain having a hollow cylindroconical vessel and a first, smaller removable false bottom retaining grain used in cleaning, steeping and resting the grain and a second, larger removable false bottom used in germinating and kilning the grain. The apparatus also includes a pump, a cooling system, a fan, a heating system, a humidifier, an aeration system, valves, tubing and ducting for treating grain with water and air. Sensors communicate with a controller and control the pump, the cooling system, the fan, the heating system, the humidifier, the valves, and the aeration system."
806,Autonomous,"A method for controlling an autonomous vehicle includes obtaining, by one or more processors, information describing a current state of the autonomous vehicle and a goal state of the autonomous vehicle; determining, by the one or more processors, an initial vehicle trajectory from the current state of the autonomous vehicle to the goal state of the autonomous vehicle; determining, by the one or more processors, an optimized vehicle trajectory based the initial trajectory and a velocity profile by applying numerical minimization to minimize a trajectory length value and a lateral acceleration value; and controlling the autonomous vehicle to traverse the optimized vehicle trajectory."
807,Alcohol,"A carbon dioxide regulator assembly for use in carbonating home brewed beer includes a first pressure gauge that includes a first gauge face. The first gauge face includes a first region having a first indicia indicating a carbonation pressure range of a first type of beer at a predefined temperature, a second region having a second indicia indicating a carbonation pressure range of a second type of beer at the predefined temperature, a third region having a third indicia indicating a carbonation pressure range of a third type of beer at the predefined temperature, and a fourth region having a fourth indicia indicating a carbonation pressure range of an over-carbonation condition at the predefined temperature. The first indicia, the second indicia, the third indicia, and the fourth indicia are each non-alpha-numeric."
808,Autonomous,"A method and arrangement are described for handover warning in a vehicle having autonomous driving capabilities and a vehicle controller configured to control unmanned autonomous travel. A processor may be configured to monitor if there is a need to transition from unmanned autonomous travel to manual control of the vehicle. A detecting arrangement may be configured to monitor a vehicle driver and evaluate the vehicle driver's readiness to assume the act of driving the vehicle. A warning arrangement may be configured to provide warning information when driver-handover is requested by the processor, which warning arrangement may be further configured to adapt warning information timing in respect to the evaluated vehicle driver's readiness to assume the act of driving the vehicle. A warning output system may be configured to output the time adapted warning information to a vehicle passenger compartment."
809,Alcohol,A method and system for rapidly aging ethanol-based solutions is disclosed wherein the temperature of a mass transfer column containing packing material is controlled while fluid flows there through.
810,Autonomous,A system and method for providing path planning and generation in a semi-autonomous or autonomously driven vehicle that provides a steering correction for collision avoidance purposes. The method includes detecting a lane center of a roadway lane that the vehicle is traveling along and determining a lane centering path that directs the vehicle from its current position to the lane center. The method also includes detecting a moving object in front of the vehicle and determining if a collision between the vehicle and the object will occur if the vehicle travels along the lane centering path at the current vehicle speed. The method solves a fifth-order polynomial equation to define a collision avoidance path from the current vehicle position to a waypoint a safe distance from the object and a return path from the waypoint to the lane center that the vehicle is automatically steered along.
811,Alcohol,"The present invention relates to a process for manufacturing succinic acid as obtained by fermentation, said process exhibiting a high yield in terms of succinic acid crystals recovery and allowing to achieve a final product with a low content of saccharides."
812,Autonomous,"A method and a system to present samples of products to customers by transporting the samples to the customer's location with an autonomous vehicle. The sample can be a product, a component of a product, a material or a device to gather information in defining the product. The autonomous vehicle is adapted for off road travel and may enter buildings, it can be carried to a nearby location by a street adapted vehicle. Information may be transmitted electronically but physical presence is essential. The customer or the customer's agent receives a presentation of the product definer and a selection of a final product is made. In other cases the autonomous vehicle delivery separate or installed technical equipment to examine the presentation location and assist in the final product selection. For example, photographs from multiple locations can measure a room for installation of carpets or draperies, etc."
813,Alcohol,"A method and apparatus of filing beer for craft breweries combines pressurized beer delivery (rather than gravity feed) with variable pressure control of the beer flow into the can. By modulating beer flow and especially beer pressure, it is possible to fill a can's widget (gas reservoir) with gas with a shorter set of fill steps. In addition, the speed of beer filling can be dramatically increased compared to small scale systems normally used by craft brewers. Unlike known large scale pressure systems, the beer bowl may be located beneath the rest of the apparatus and modulated pressure may be used, making for a smaller and more portable unit."
814,Autonomous,"Systems for controlling autonomous vehicles are disclosed. Using one or more location detection resources, the system can receive vehicle data from an autonomous vehicle as the autonomous vehicle progresses towards a pickup location of a requesting user and receive requester data from a mobile computing device of the requester. The system can determine when the autonomous vehicle and the requester are at or within a threshold distance of the pickup location. Subsequently, the system can instruct the autonomous vehicle to perform one or more non-driving operations to facilitate use of the autonomous vehicle by the requester."
815,Alcohol,"The tank (1) comprises a cylindrical vessel (2), air tight sealing means (4), associated at the top of this, pressure control means (6), and in addition: first gas adduction nozzles (71), located in proximity of the bottom (22) of said cylindrical vessel (2); seconds gas adduction nozzles (72), provided at an intermediate height of said cylindrical vessel (2); third gas adduction nozzles (73), provided in the upper part of said cylindrical vessel (2), above the maximum level reached by the liquid; power and control means (8), functionally connected to said pressure control means (6), first, second and third gas adduction nozzles (71, 72, 73), adapted to determine for the same respective predetermined operative phases, in order to perform vinification processes with controlled oxidation, even without the addition of sulphites. The tank (1) is advantageously equipped with organs for taking the must from the bottom and spreading it from the top (5), by up-down shaking, activated by said power and control means (8)."
816,Autonomous,"Novel apparatus and methods for generating and transmitting an interruption signal to a request for a substantially autonomous vehicle taxi-service based on user-supplied input are presented. The disclosure provides an efficient technique for interrupting an initial request for a substantially autonomous vehicle taxi-service and in some embodiments, further enables for the rescheduling of the request for a substantially autonomous vehicle taxi-service to a future point in time based upon user supplied input."
817,Non-Alcohol,"The innovation refers to food industry, particularly to dietary supplements and non-alcoholic tonic beverages. Subject matter of this invention is to work out a formulation of dietary supplement which improves the self-feeling after taking alcoholic drinks, substantially and significantly decreases alcohol concentration in blood. The liquid-form dietary supplement is obtained. Dietary supplement contains extracts of medicinal plants: garden angelica with root, ginger, great burdock roots, nutmeg seeds, rosemary leaves, greenbrier roots, paprika fruit and cinnamon barkextracts, fructose, honey, chicory inulin, lemon juice concentrate and apple juice."
818,Alcohol,"Device (V) for obtaining a wort (WO) from a mash (MA) in the beer brewing or beverage industry, at least comprising a receiving unit (AG) for receiving the mash (MA); at least one separating device (T; T1, T2) each having a surface (FA; FA1, FA2); wherein the surface (FA) has a multiplicity of openings (OP); wherein the device (V) is preferably suitable for separating the mash (MA) into the wort (WO) and a residual mash (RM) by means of the surface (FA) of the separating device (T); wherein the surface (FA; FA1, FA2) or a part thereof can be brought into contact with the mash (MA), if the mash (MA) is present in the receiving unit (AG) for separation into the wort (WO) and the residual mash (RM); and wherein, during the operation of the device (V), the surface (FA) is arranged such that it is moved or can be moved or can be rotated relative to the mash (MA), the residual mash (RM) and/or the receiving unit (AG)."
